"time" "response"
1.25 1
1.2 1
0.74 0
1.43 1
0.89 1
1.04 1
1 0
1.41 1
1.1 0
0.9 0
1.08 1
0.92 1
0.99 1
1.03 0
0.9 0
1.23 1
1.06 0
1.05 0
1.38 0
1.09 1
1.44 0
1.63 0
0.87 1
1.06 1
1.33 1
1.44 1
1.19 0
1.04 1
0.9 0
0.99 1
1.1 1
1.16 0
1.25 1
1.13 0
1.44 1
1.13 0
1.01 0
1.01 1
1.5 1
0.92 1
1.25 0
1.11 1
1.05 1
0.94 1
1.08 1
1.37 0
1.19 0
1.17 1
0.99 0
1.06 1
1.99 0
1.33 1
1.59 0
1.91 1
0.95 1
1.41 1
0.95 1
1.55 0
0.97 1
1.66 0
0.92 1
1.45 1
1.23 0
1.77 0
1.05 1
1.87 0
1.02 0
1.37 1
1.14 0
0.96 0
0.9 0
1.22 0
1.72 1
1.63 0
0.89 0
1.76 0
1.88 1
1.51 0
0.97 1
0.93 1
0.9 1
1.28 1
1.17 0
0.92 1
1.07 0
0.89 1
1.68 0
0.95 1
0.89 1
1.08 0
1.33 1
0.98 1
1.15 0
1.02 0
1.28 0
0.86 0
0.87 1
1.56 0
0.92 0
1.52 0
1.12 0
0.82 1
0.91 1
1.32 0
1.26 0
1.07 0
1.16 1
1.49 0
1 0
1.23 1
0.95 1
1.01 0
0.95 1
1.33 0
1.58 0
1.67 1
0.94 1
0.96 1
0.94 1
1.11 0
0.87 1
1.18 1
1.72 0
1.1 1
0.86 1
1.58 0
1.34 0
1.1 0
1.39 0
1.12 1
0.88 1
0.95 1
0.32 0
0.98 1
0.85 0
1.46 0
1.48 0
1.65 0
0.91 1
0.95 1
1.09 1
1.35 0
1.15 0
1.11 0
1.07 0
1.04 1
0.94 0
0.99 1
1.08 1
1.34 1
1.34 0
1.01 0
1.09 0
2.05 0
0.88 0
0.94 0
0.96 0
1.26 1
1.07 0
1.28 0
0.95 1
1.06 1
1.06 1
0.94 1
0.95 1
1.01 0
1.56 0
0.81 1
0.99 0
0.98 1
0.92 0
0.96 1
1.64 0
1.71 1
0.94 0
0.91 0
0.96 1
0.97 1
1.08 0
1.13 1
1.05 1
1.25 1
1.05 0
1.03 0
1.48 0
1.77 0
1.62 0
1.07 1
1.05 0
1.46 0
1.08 0
1.24 0
1.16 1
0.92 0
1.02 0
0.83 1
1.21 1
0.95 1
1.41 0
1.05 0
1.12 0
1.38 1
1.64 0
0.98 0
0.94 0
0.91 1
1.43 0
1 0
0.95 0
1.3 0
1.02 1
1.05 0
0.92 0
1.56 1
1.02 1
1.01 1
1.19 0
1.42 0
0.89 0
1.28 1
1.25 0
0.78 1
1.6 0
1.14 1
0.96 1
1.12 0
1.52 1
0.92 0
0.97 1
1.08 0
1.52 0
0.96 0
0.99 1
1.12 0
0.97 1
1.26 0
1.25 0
1.05 1
0.92 1
1.09 0
0.95 0
0.89 1
1.41 0
1.01 0
0.92 1
1.3 0
1.26 1
1.04 1
0.83 0
